Item,Price Range,Average Price,City
"Meal, Inexpensive Restaurant","10,000.00 USh","5,000.00-15,000.00",Kampala
"Meal for 2 People, Mid-range Restaurant, Three-course","90,000.00 USh","55,000.00-150,000.00",Kampala
McMeal at McDonalds (or Equivalent Combo Meal),"31,000.00 USh","25,000.00-35,811.98",Kampala
Domestic Beer (0.5 liter draught),"5,000.00 USh","3,500.00-7,000.00",Kampala
Imported Beer (0.33 liter bottle),"9,000.00 USh","6,500.00-15,000.00",Kampala
Cappuccino (regular),"10,014.76 USh","7,000.00-15,000.00",Kampala
Coke/Pepsi (0.33 liter bottle),"1,888.89 USh","1,500.00-5,000.00",Kampala
Water (0.33 liter bottle),"1,071.43 USh","1,000.00-2,000.00",Kampala
"Milk (regular), (1 liter)","2,627.27 USh","1,500.00-4,000.00",Kampala
Loaf of Fresh White Bread (500g),"4,170.93 USh","2,500.00-6,000.00",Kampala
"Rice (white), (1kg)","4,895.24 USh","4,000.00-6,000.00",Kampala
Eggs (regular) (12),"6,441.45 USh","4,440.00-12,500.00",Kampala
Local Cheese (1kg),"16,976.71 USh","5,000.00-30,000.00",Kampala
Chicken Fillets (1kg),"17,000.00 USh","8,000.00-30,000.00",Kampala
Beef Round (1kg) (or Equivalent Back Leg Red Meat),"15,263.16 USh","14,000.00-17,000.00",Kampala
Apples (1kg),"9,993.01 USh","5,000.00-15,000.00",Kampala
Banana (1kg),"5,071.43 USh","3,000.00-8,000.00",Kampala
Oranges (1kg),"5,876.55 USh","3,000.00-10,000.00",Kampala
Tomato (1kg),"5,555.95 USh","3,000.00-10,000.00",Kampala
Potato (1kg),"5,562.50 USh","2,500.00-10,000.00",Kampala
Onion (1kg),"6,375.00 USh","3,000.00-11,000.00",Kampala
Lettuce (1 head),"3,500.00 USh","1,500.00-7,000.00",Kampala
Water (1.5 liter bottle),"2,050.00 USh","1,500.00-3,000.00",Kampala
Bottle of Wine (Mid-Range),"40,000.00 USh","20,000.00-50,000.00",Kampala
Domestic Beer (0.5 liter bottle),"4,233.33 USh","3,000.00-5,000.00",Kampala
Imported Beer (0.33 liter bottle),"6,650.00 USh","4,000.00-10,000.00",Kampala
Cigarettes 20 Pack (Marlboro),"12,750.00 USh","10,000.00-20,000.00",Kampala
One-way Ticket (Local Transport),"3,000.00 USh","2,000.00-5,000.00",Kampala
Monthly Pass (Regular Price),"150,000.00 USh","0.00-173,913.04",Kampala
Taxi Start (Normal Tariff),"2,000.00 USh","1,000.00-10,000.00",Kampala
Taxi 1km (Normal Tariff),"1,250.00 USh","1,000.00-3,000.00",Kampala
Taxi 1hour Waiting (Normal Tariff),"15,000.00 USh","5,000.00-30,000.00",Kampala
Gasoline (1 liter),"5,305.71 USh","4,999.00-5,500.00",Kampala
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"35,000,000.00 USh","30,000,000.00-35,000,000.00",Kampala
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"32,000,000.00 USh","30,000,000.00-40,000,000.00",Kampala
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","160,000.00 USh","80,000.00-250,000.00",Kampala
Mobile Phone Monthly Plan with Calls and 10GB+ Data,"53,083.33 USh","20,000.00-100,000.00",Kampala
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","157,777.78 USh","120,000.00-500,000.00",Kampala
"Fitness Club, Monthly Fee for 1 Adult","150,000.00 USh","100,000.00-200,000.00",Kampala
Tennis Court Rent (1 Hour on Weekend),"26,500.00 USh","10,000.00-40,000.00",Kampala
"Cinema, International Release, 1 Seat","20,000.00 USh","15,000.00-45,000.00",Kampala
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","578,750.00 USh","375,000.00-1,000,000.00",Kampala
"International Primary School, Yearly for 1 Child","12,333,333.33 USh","5,000,000.00-25,000,000.00",Kampala
1 Pair of Jeans (Levis 501 Or Similar),"55,555.56 USh","30,000.00-80,000.00",Kampala
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","52,500.00 USh","30,000.00-90,000.00",Kampala
1 Pair of Nike Running Shoes (Mid-Range),"151,250.00 USh","70,000.00-200,000.00",Kampala
1 Pair of Men Leather Business Shoes,"158,750.00 USh","100,000.00-300,000.00",Kampala
Apartment (1 bedroom) in City Centre,"1,400,000.00 USh","700,000.00-2,747,495.79",Kampala
Apartment (1 bedroom) Outside of Centre,"780,769.23 USh","450,000.00-1,500,000.00",Kampala
Apartment (3 bedrooms) in City Centre,"3,725,000.00 USh","1,800,000.00-7,500,000.00",Kampala
