Item,Price Range,Average Price,City,Category
"Meal, Inexpensive Restaurant","10,000.00 USh","5,000.00-15,000.00",Kampala,Cost of Living
"Meal for 2 People, Mid-range Restaurant, Three-course","90,000.00 USh","55,000.00-150,000.00",Kampala,Cost of Living
McMeal at McDonalds (or Equivalent Combo Meal),"31,000.00 USh","25,000.00-35,811.98",Kampala,Cost of Living
Domestic Beer (0.5 liter draught),"5,000.00 USh","3,500.00-7,000.00",Kampala,Cost of Living
Imported Beer (0.33 liter bottle),"9,000.00 USh","6,500.00-15,000.00",Kampala,Cost of Living
Cappuccino (regular),"10,014.76 USh","7,000.00-15,000.00",Kampala,Cost of Living
Coke/Pepsi (0.33 liter bottle),"1,888.89 USh","1,500.00-5,000.00",Kampala,Cost of Living
Water (0.33 liter bottle),"1,071.43 USh","1,000.00-2,000.00",Kampala,Cost of Living
"Milk (regular), (1 liter)","2,627.27 USh","1,500.00-4,000.00",Kampala,Cost of Living
Loaf of Fresh White Bread (500g),"4,170.93 USh","2,500.00-6,000.00",Kampala,Cost of Living
"Rice (white), (1kg)","4,895.24 USh","4,000.00-6,000.00",Kampala,Cost of Living
Eggs (regular) (12),"6,441.45 USh","4,440.00-12,500.00",Kampala,Cost of Living
Local Cheese (1kg),"16,976.71 USh","5,000.00-30,000.00",Kampala,Cost of Living
Chicken Fillets (1kg),"17,000.00 USh","8,000.00-30,000.00",Kampala,Cost of Living
Beef Round (1kg) (or Equivalent Back Leg Red Meat),"15,263.16 USh","14,000.00-17,000.00",Kampala,Cost of Living
Apples (1kg),"9,993.01 USh","5,000.00-15,000.00",Kampala,Cost of Living
Banana (1kg),"5,071.43 USh","3,000.00-8,000.00",Kampala,Cost of Living
Oranges (1kg),"5,876.55 USh","3,000.00-10,000.00",Kampala,Cost of Living
Tomato (1kg),"5,555.95 USh","3,000.00-10,000.00",Kampala,Cost of Living
Potato (1kg),"5,562.50 USh","2,500.00-10,000.00",Kampala,Cost of Living
Onion (1kg),"6,375.00 USh","3,000.00-11,000.00",Kampala,Cost of Living
Lettuce (1 head),"3,500.00 USh","1,500.00-7,000.00",Kampala,Cost of Living
Water (1.5 liter bottle),"2,050.00 USh","1,500.00-3,000.00",Kampala,Cost of Living
Bottle of Wine (Mid-Range),"40,000.00 USh","20,000.00-50,000.00",Kampala,Cost of Living
Domestic Beer (0.5 liter bottle),"4,233.33 USh","3,000.00-5,000.00",Kampala,Cost of Living
Imported Beer (0.33 liter bottle),"6,650.00 USh","4,000.00-10,000.00",Kampala,Cost of Living
Cigarettes 20 Pack (Marlboro),"12,750.00 USh","10,000.00-20,000.00",Kampala,Cost of Living
One-way Ticket (Local Transport),"3,000.00 USh","2,000.00-5,000.00",Kampala,Cost of Living
Monthly Pass (Regular Price),"150,000.00 USh","0.00-173,913.04",Kampala,Cost of Living
Taxi Start (Normal Tariff),"2,000.00 USh","1,000.00-10,000.00",Kampala,Cost of Living
Taxi 1km (Normal Tariff),"1,250.00 USh","1,000.00-3,000.00",Kampala,Cost of Living
Taxi 1hour Waiting (Normal Tariff),"15,000.00 USh","5,000.00-30,000.00",Kampala,Cost of Living
Gasoline (1 liter),"5,305.71 USh","4,999.00-5,500.00",Kampala,Cost of Living
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"35,000,000.00 USh","30,000,000.00-35,000,000.00",Kampala,Cost of Living
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"32,000,000.00 USh","30,000,000.00-40,000,000.00",Kampala,Cost of Living
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","160,000.00 USh","80,000.00-250,000.00",Kampala,Cost of Living
Mobile Phone Monthly Plan with Calls and 10GB+ Data,"53,083.33 USh","20,000.00-100,000.00",Kampala,Cost of Living
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","157,777.78 USh","120,000.00-500,000.00",Kampala,Cost of Living
"Fitness Club, Monthly Fee for 1 Adult","150,000.00 USh","100,000.00-200,000.00",Kampala,Cost of Living
Tennis Court Rent (1 Hour on Weekend),"26,500.00 USh","10,000.00-40,000.00",Kampala,Cost of Living
"Cinema, International Release, 1 Seat","20,000.00 USh","15,000.00-45,000.00",Kampala,Cost of Living
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","578,750.00 USh","375,000.00-1,000,000.00",Kampala,Cost of Living
"International Primary School, Yearly for 1 Child","12,333,333.33 USh","5,000,000.00-25,000,000.00",Kampala,Cost of Living
1 Pair of Jeans (Levis 501 Or Similar),"55,555.56 USh","30,000.00-80,000.00",Kampala,Cost of Living
"1 Summer Dress in a Chain Store (Zara, H&M, ...)","52,500.00 USh","30,000.00-90,000.00",Kampala,Cost of Living
1 Pair of Nike Running Shoes (Mid-Range),"151,250.00 USh","70,000.00-200,000.00",Kampala,Cost of Living
1 Pair of Men Leather Business Shoes,"158,750.00 USh","100,000.00-300,000.00",Kampala,Cost of Living
Apartment (1 bedroom) in City Centre,"1,400,000.00 USh","700,000.00-2,747,495.79",Kampala,Cost of Living
Apartment (1 bedroom) Outside of Centre,"780,769.23 USh","450,000.00-1,500,000.00",Kampala,Cost of Living
Apartment (3 bedrooms) in City Centre,"3,725,000.00 USh","1,800,000.00-7,500,000.00",Kampala,Cost of Living
Apartment (3 bedrooms) Outside of Centre,"1,204,166.67 USh","800,000.00-3,000,000.00",Kampala,Cost of Living
Price per Square Meter to Buy Apartment in City Centre,"4,113,880.53 USh","3,600,000.00-4,741,641.60",Kampala,Cost of Living
Price per Square Meter to Buy Apartment Outside of Centre,"3,584,000.00 USh","2,720,000.00-3,800,000.00",Kampala,Cost of Living
Average Monthly Net Salary (After Tax),"694,444.44 USh",,Kampala,Cost of Living
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",20.33,18.00-23.00,Kampala,Cost of Living
"Milk (regular), (1 liter)","2,627.27 USh","1,500.00-4,000.00",Kampala,Groceries
Loaf of Fresh White Bread (500g),"4,170.93 USh","2,500.00-6,000.00",Kampala,Groceries
"Rice (white), (1kg)","4,895.24 USh","4,000.00-6,000.00",Kampala,Groceries
Eggs (regular) (12),"6,441.45 USh","4,440.00-12,500.00",Kampala,Groceries
Local Cheese (1kg),"16,976.71 USh","5,000.00-30,000.00",Kampala,Groceries
Chicken Fillets (1kg),"17,000.00 USh","8,000.00-30,000.00",Kampala,Groceries
Beef Round (1kg) (or Equivalent Back Leg Red Meat),"15,263.16 USh","14,000.00-17,000.00",Kampala,Groceries
Apples (1kg),"9,993.01 USh","5,000.00-15,000.00",Kampala,Groceries
Banana (1kg),"5,071.43 USh","3,000.00-8,000.00",Kampala,Groceries
Oranges (1kg),"5,876.55 USh","3,000.00-10,000.00",Kampala,Groceries
Tomato (1kg),"5,555.95 USh","3,000.00-10,000.00",Kampala,Groceries
Potato (1kg),"5,562.50 USh","2,500.00-10,000.00",Kampala,Groceries
Onion (1kg),"6,375.00 USh","3,000.00-11,000.00",Kampala,Groceries
Lettuce (1 head),"3,500.00 USh","1,500.00-7,000.00",Kampala,Groceries
Apartment (1 bedroom) in City Centre,"1,400,000.00 USh","700,000.00-2,747,495.79",Kampala,Rent
Apartment (1 bedroom) Outside of Centre,"780,769.23 USh","450,000.00-1,500,000.00",Kampala,Rent
Apartment (3 bedrooms) in City Centre,"3,725,000.00 USh","1,800,000.00-7,500,000.00",Kampala,Rent
Apartment (3 bedrooms) Outside of Centre,"1,204,166.67 USh","800,000.00-3,000,000.00",Kampala,Rent
Price per Square Meter to Buy Apartment in City Centre,"4,113,880.53 USh","3,600,000.00-4,741,641.60",Kampala,Rent
Price per Square Meter to Buy Apartment Outside of Centre,"3,584,000.00 USh","2,720,000.00-3,800,000.00",Kampala,Rent
Average Monthly Net Salary (After Tax),"694,444.44 USh",,Kampala,Rent
